name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
A.Crumpler,00-0020285,no,TEN,,,,,,,1,0,1,0,0,,,,,,,,,,35,36,0,8,0,,,,,,,,,,,,,,,,,,167,14,33,3,1,0,274,,,,,,,
K.Britt,00-0027006,no,TEN,WR,,,,,,4,2,5,2,-2,,,,,,,,,,137,200,,24,0,,,,,,,,,,,,,,,,,,1631,455,207,22,2,2,3235,2,14,0,0,0,0,14
N.Washington,00-0023367,no,TEN,WR,,,,,,0,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2328,665,312,28,0,0,4679,5,12,3,1,0,0,12
B.Scaife,00-0023612,no,TEN,,,,,,,2,1,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373,7,81,5,0,0,758,,,,,,,
A.Hall,00-0024489,no,TEN,,,,,,,3,0,3,0,0,,,,,,,,,,22,27,0,3,0,,,,,,,,,,,,,,,,,,182,0,36,0,0,0,225,8,25,0,0,0,0,30
S.Tulloch,00-0024331,no,TEN,MLB,188,1,4,12.0,476,0,0,0,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Finnegan,00-0024429,no,TEN,,74,3,12,3,336,0,1,1,3,50,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,,4,0,,,,,,,,,,,,,,
R.Bironas,00-0020962,no,TEN,,,,,,,,,,,,148,130,2723,390,185,0,185,0,185,,,,,,,,,,,,,40,0,40,1,40,,,,,,,,,,,,,,,,,,,
C.Hentrich,00-0007308,no,TEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,3,116,9,422,,,,,,,,,,,,,,,,,,,
J.Ringer,00-0027120,no,TEN,,1,0,0,0,0,1,1,1,1,0,,,,,,,,,,39,46,,9,0,,,,,,,,,,,,,,,,,,170,0,38,0,0,0,243,120,289,32,3,0,0,486
