name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
A.Luck,00-0029668,yes,IND,QB,,,,,,38,21,0,3,0,0,228,4,11,10,1,0,0,29
P.Manning,00-0010346,no,DEN,QB,0,0,1,0,0,49,29,1,3,1,0,386,1,-1,0,0,0,0,-1
