name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds
D.Brees,00-0020531,yes,NO,QB,41,34,0,4,0,0,392
T.Romo,00-0021678,no,DAL,QB,24,10,0,1,0,0,128
