name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
D.Brees,00-0020531,yes,NO,QB,31,24,0,4,0,0,381,2,9,9,1,0,0,8
M.Glennon,00-0030520,no,TB,QB,41,22,1,2,0,0,219,,,,,,,
