name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
M.Hasselbeck,00-0007091,yes,IND,QB,,,,,,4,3,0,0,0,0,25,1,-1,0,0,0,0,-1
A.Luck,00-0029668,yes,IND,QB,0,0,1,0,0,37,26,0,1,0,0,282,2,4,0,0,0,0,7
C.Henne,00-0026197,no,JAC,QB,,,,,,51,30,1,1,0,0,331,1,0,0,0,0,0,0
