name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds
P.Manning,00-0010346,yes,DEN,QB,52,26,0,2,0,0,330
M.Schaub,00-0022787,no,HOU,QB,30,17,1,4,0,0,290
