name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds
B.Roethlisberger,00-0022924,yes,PIT,QB,31,24,0,2,0,0,275
M.Sanchez,00-0026898,no,NYJ,QB,27,10,0,1,0,0,138
