name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
C.Kaepernick,00-0027974,yes,SF,QB,0,0,2,0,0,17,11,0,0,0,0,117,,,,,,8,19,7,1,0,0,66
A.Smith,00-0023436,yes,SF,QB,,,,,,8,7,0,1,0,0,72,,,,,,2,4,0,0,0,0,5
J.Hekker,00-0028872,no,STL,P,,,,,,2,2,0,0,0,0,40,31,1,45,4,147,,,,,,,
S.Bradford,00-0027854,no,STL,QB,0,0,1,0,-1,39,26,0,2,0,0,275,,,,,,1,0,0,0,0,0,0
