name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
J.Johnson,00-0026300,yes,TB,,27,16,1,1,0,0,229,,,,,,,,5,14,0,0,0,0,45
C.Newton,00-0027939,no,CAR,QB,21,12,0,1,0,0,204,27,0,1,0,0,0,27,14,22,1,3,0,0,54
