name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,receiving_lng,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
C.Redman,00-0019709,yes,ATL,,,,,,,41,23,0,2,0,0,243,,,,,,,2,5,0,0,0,4
M.Ryan,00-0026143,yes,ATL,QB,,,,,,3,2,0,0,0,0,15,,,,,,,,,,,,
J.Freeman,00-0026993,no,TB,,0,1,1,1,0,29,20,0,2,0,0,250,1,0,0,0,0,1,2,8,0,0,0,14
