name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
M.Schaub,00-0022787,yes,HOU,QB,39,24,1,2,0,0,303,2,3,0,0,0,1
B.Hoyer,00-0026625,no,NE,QB,12,8,0,0,0,0,71,1,10,0,0,0,10
T.Brady,00-0019596,no,NE,QB,26,17,1,0,0,0,186,,,,,,
