name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
T.Jackson,00-0024279,yes,MIN,QB,2,0,0,0,0,0,0,3,-1,0,0,0,-3
B.Favre,00-0005106,yes,MIN,,29,20,0,1,0,0,344,1,-1,0,0,0,-1
M.Stafford,00-0026498,no,DET,QB,51,29,0,1,0,0,224,4,15,0,0,0,28
