name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,receiving_lng,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
D.McNabb,00-0011022,yes,PHI,,1,0,2,0,0,23,17,0,3,0,0,240,1,1,0,0,0,1,1,14,0,0,0,14
E.Manning,00-0022803,no,NYG,QB,,,,,,39,20,2,1,0,0,222,,,,,,,3,13,0,0,0,34
