name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds
B.Favre,00-0005106,yes,MIN,,,,,,,29,21,0,3,0,0,278
J.Flacco,00-0026158,no,BAL,QB,0,1,1,1,0,43,28,0,2,0,0,385
