name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
T.Edwards,00-0025479,yes,BUF,,31,16,1,0,0,0,152,4,20,0,0,0,40
D.Anderson,00-0023645,no,CLE,QB,17,2,1,0,0,0,23,1,2,0,0,0,2
