name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
B.Roethlisberger,00-0022924,yes,PIT,QB,43,33,2,1,0,0,363,1,3,0,0,0,3
K.Collins,00-0003292,no,TEN,,35,22,1,1,0,0,244,2,1,0,0,0,1
