name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,receiving_lng,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
C.Henne,00-0026197,yes,MIA,QB,26,20,0,2,0,0,241,,,,,,,,,,,,
R.Brown,00-0023437,yes,MIA,,2,1,0,0,0,0,21,10,3,0,0,0,14,21,13,2,0,0,74
M.Sanchez,00-0026898,no,NYJ,QB,24,12,0,1,0,0,172,,,,,,,2,4,0,0,0,6
