name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
J.Flacco,00-0026158,yes,BAL,QB,25,20,0,1,0,0,175,5,2,0,0,0,5
K.Orton,00-0023541,no,DEN,,37,23,0,0,0,0,152,1,11,0,0,0,11
