name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
M.Moore,00-0025708,yes,CAR,QB,23,14,0,1,0,0,162,1,-1,0,0,0,-1
M.Brunell,00-0002110,no,NO,,29,15,1,0,0,0,102,,,,,,
