name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
J.Johnson,00-0026300,yes,TB,,,,,,,2,2,0,0,0,0,15,,,,,,,
J.Freeman,00-0026993,yes,TB,,0,2,1,2,0,26,21,0,5,0,0,237,4,11,0,0,0,0,23
M.Hasselbeck,00-0007091,no,SEA,QB,,,,,,4,3,0,0,0,0,24,1,1,1,1,0,0,1
C.Whitehurst,00-0024296,no,SEA,QB,,,,,,18,11,0,0,1,1,66,3,5,0,0,0,0,5
