name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
M.Moore,00-0025708,yes,CAR,QB,,,,,,10,5,2,0,0,0,35,,,,,,,
J.Clausen,00-0027659,yes,CAR,QB,0,2,3,2,-12,22,9,1,0,0,0,61,2,0,0,0,0,0,0
T.Collins,00-0003315,no,CHI,,,,,,,16,6,4,0,0,0,32,,,,,,,
C.Hanie,00-0025970,no,CHI,,,,,,,3,2,0,0,0,0,19,1,-1,0,0,0,0,-1
