name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
A.Smith,00-0023436,yes,SF,QB,1,0,1,0,0,39,25,2,3,0,0,309,3,11,0,0,0,0,16
K.Kolb,00-0025423,no,PHI,,1,0,1,0,0,31,21,0,1,0,0,253,3,19,0,0,0,0,17
