name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
J.Kitna,00-0009311,yes,DAL,,24,18,0,3,0,0,147,4,29,29,1,0,0,40
Sh.Hill,00-0020679,no,DET,QB,47,32,1,2,0,0,289,,,,,,,
