name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
J.Kitna,00-0009311,yes,DAL,,0,1,1,1,-6,37,25,0,2,0,0,305,4,7,0,0,0,0,11
R.Grossman,00-0022121,no,WAS,,1,0,1,0,0,43,25,2,4,2,2,322,1,-1,0,0,0,0,-1
