name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds
M.Cassel,00-0023662,yes,KC,QB,24,15,0,2,0,0,193
D.Anderson,00-0023645,no,ARI,QB,46,25,0,1,0,0,295
