name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds
K.Collins,00-0003292,yes,TEN,,39,28,0,3,0,0,244
P.Manning,00-0010346,no,IND,QB,35,25,0,2,0,0,319
