name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
S.Bradford,00-0027854,yes,STL,QB,1,0,1,0,0,31,17,0,1,0,0,203,,,,,,,,,,,,,,
B.Lloyd,00-0022097,yes,STL,,,,,,,1,0,0,0,0,0,0,26,16,5,1,0,0,74,,,,,,,
J.Skelton,00-0027754,no,ARI,,,,,,,23,12,2,0,0,0,114,,,,,,,,3,13,0,0,0,0,18
