name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds
M.Hasselbeck,00-0007091,yes,TEN,QB,,,,,,42,30,1,1,0,0,358
J.Flacco,00-0026158,no,BAL,QB,0,1,1,1,0,32,15,2,1,0,0,197
