name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
G.Smith,00-0030565,yes,NYJ,QB,1,0,1,0,0,,,,,,38,24,1,1,0,0,256,,,,,,,,,,,,,6,13,0,0,0,0,47
J.Kerley,00-0028091,yes,NYJ,WR,,,,,,19,19,0,1,0,1,0,0,0,0,0,0,9,9,0,1,0,26,0,3,0,0,0,45,1,-1,0,0,0,0,-1
J.Freeman,00-0026993,no,TB,,0,0,1,0,-8,,,,,,31,15,1,1,0,0,210,,,,,,,,,,,,,1,0,0,0,0,0,0
