name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
G.Tate,00-0027891,yes,SEA,WR,,,,,,1,1,0,1,0,0,23,38,38,2,1,0,0,51,,,,,,,
R.Wilson,00-0029263,yes,SEA,QB,1,0,2,0,0,19,12,0,2,0,0,188,,,,,,,,7,18,0,0,0,0,34
T.Tebow,00-0027876,no,NYJ,,,,,,,3,3,0,0,0,0,8,,,,,,,,4,6,0,0,0,0,14
M.Sanchez,00-0026898,no,NYJ,QB,1,0,1,0,0,22,9,1,0,0,0,124,,,,,,,,,,,,,,
