name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds
D.Brees,00-0020531,yes,NO,QB,36,26,0,3,0,0,342
M.Stafford,00-0026498,no,DET,QB,44,31,1,1,0,0,408
