name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
Sh.Hill,00-0020679,yes,DET,QB,,,,,,1,1,0,0,0,0,28,,,,,,,
M.Stafford,00-0026498,yes,DET,QB,,,,,,39,23,1,4,0,0,294,1,1,0,0,0,0,1
M.Cassel,00-0023662,no,KC,QB,1,0,1,0,0,22,15,3,0,0,0,133,,,,,,,
T.Palko,00-0024812,no,KC,,,,,,,1,0,0,0,0,0,0,,,,,,,
