name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
R.Wilson,00-0029263,yes,SEA,QB,21,15,1,4,0,0,171,,,,,,,,6,9,0,0,0,0,29
S.Rice,00-0025431,yes,SEA,,1,0,0,0,0,0,0,14,0,1,0,0,0,14,,,,,,,
C.Kaepernick,00-0027974,no,SF,QB,36,19,1,1,0,0,244,,,,,,,,7,8,0,0,0,0,31
