name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
A.Podlesh,00-0025488,yes,CHI,,1,0,0,0,0,0,0,46,1,55,3,137,,,,,,,
J.Cutler,00-0024226,yes,CHI,QB,31,18,1,2,0,0,286,,,,,,5,11,1,1,0,0,11
P.Rivers,00-0022942,no,SD,QB,31,21,2,2,0,0,280,,,,,,,,,,,,
