name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
J.Delhomme,00-0004161,yes,CLE,,0,0,1,0,0,,,,,,23,13,2,0,0,0,97,,,,,,,,,,,,,1,0,0,0,0,0,0
J.Cribbs,00-0023176,yes,CLE,,0,1,1,1,0,21,34,0,3,0,1,1,0,0,0,0,10,3,3,0,1,0,8,0,1,0,0,0,8,2,7,0,0,0,0,11
S.Wallace,00-0022055,yes,CLE,,,,,,,,,,,,15,11,0,1,0,0,139,,,,,,,,,,,,,,,,,,,
M.Ryan,00-0026143,no,ATL,QB,1,0,1,0,0,,,,,,28,16,0,1,0,0,187,,,,,,,,,,,,,5,7,0,0,0,0,5
