name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
D.McNabb,00-0011022,yes,PHI,,1,2,3,2,-6,35,20,1,3,0,0,322,5,27,0,0,0,29
K.Orton,00-0023541,no,DEN,,,,,,,41,27,1,3,0,0,189,1,7,0,0,0,7
