name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
B.Banks,00-0027618,yes,WAS,,,,,,,19,23,0,6,0,1,1,0,1,0,0,49,,,,,,,
R.Grossman,00-0022121,yes,WAS,,1,0,2,0,-1,,,,,,32,19,1,2,0,0,252,1,0,0,0,0,0,0
T.Brady,00-0019596,no,NE,QB,,,,,,,,,,,37,22,1,3,0,0,357,4,5,0,0,0,0,8
