name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
T.Tebow,00-0027876,yes,DEN,,,,,,,20,9,0,0,0,0,104,,,,,,8,20,20,1,0,0,68
E.Decker,00-0027690,yes,DEN,WR,,,,,,1,0,0,0,0,0,0,5,5,0,1,0,,,,,,,
M.Sanchez,00-0026898,no,NYJ,QB,0,1,0,1,0,40,24,1,0,0,0,252,,,,,,1,0,0,0,0,0,0
