name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
M.Cassel,00-0023662,yes,KC,QB,,,,,,,,,,,36,22,1,1,0,0,119,-4,0,1,0,0,0,-4,,,,,,,
R.Fitzpatrick,00-0023682,no,BUF,QB,0,1,1,1,0,,,,,,25,17,0,4,0,0,208,,,,,,,,3,3,0,0,0,0,3
B.Smith,00-0024318,no,BUF,,,,,,,21,21,0,1,0,1,0,1,0,0,0,0,,,,,,,,3,4,0,0,0,0,6
