name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
R.Mallett,00-0028012,yes,HOU,QB,,,,,,45,21,1,0,0,0,189,1,2,0,0,0,0,2
A.Dalton,00-0027973,no,CIN,QB,0,1,1,1,0,35,24,1,1,0,0,233,7,3,0,0,0,0,6
