name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
J.Cribbs,00-0023176,yes,CLE,,,,,,,7,12,0,3,0,1,0,0,0,0,0,0,11,11,0,1,0,31,0,3,0,0,0,37,1,0,0,0,0,0,0
C.McCoy,00-0027688,yes,CLE,QB,0,1,1,1,0,,,,,,41,20,3,1,0,0,209,,,,,,,,,,,,,4,9,0,0,0,0,19
S.Wallace,00-0022055,yes,CLE,,,,,,,,,,,,1,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,
B.Leftwich,00-0022177,no,PIT,,,,,,,,,,,,7,5,0,0,0,0,42,,,,,,,,,,,,,,,,,,,
A.Randle El,00-0021190,no,PIT,,,,,,,,,,,,1,1,0,1,0,0,3,1,1,0,1,0,14,0,2,0,0,0,21,,,,,,,
B.Roethlisberger,00-0022924,no,PIT,QB,,,,,,,,,,,22,15,0,2,0,0,280,,,,,,,,,,,,,4,10,0,0,0,0,24
