name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
B.Hoyer,00-0026625,yes,NE,QB,,,,,,11,9,0,0,0,0,52,6,4,1,0,0,-2
T.Brady,00-0019596,yes,NE,QB,,,,,,34,29,0,6,0,0,380,,,,,,
V.Young,00-0024218,no,TEN,,0,1,1,1,-18,2,0,1,0,0,0,0,2,0,0,0,0,-1
K.Collins,00-0003292,no,TEN,,1,1,2,1,-4,12,2,1,0,0,0,-7,3,0,0,0,0,-1
