name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds
M.Glennon,00-0030520,yes,TB,QB,44,24,1,2,0,0,314
J.Flacco,00-0026158,no,BAL,QB,29,21,0,5,0,0,306
