name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
D.Sepulveda,00-0025499,yes,PIT,,,,,,,1,1,0,0,0,0,33,19,1,48,1,48,,,,,,,
B.Roethlisberger,00-0022924,yes,PIT,QB,,,,,,34,24,1,5,0,0,228,,,,,,,,,,,,
M.Hasselbeck,00-0007091,no,TEN,QB,0,0,1,0,0,49,29,1,1,0,0,262,,,,,,1,3,0,0,0,0,3
