name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds
P.Rivers,00-0022942,yes,SD,QB,1,0,1,0,0,28,21,0,3,0,0,249
E.Manning,00-0022803,no,NYG,QB,,,,,,32,20,2,1,0,0,259
