name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
A.Brown,00-0027793,yes,PIT,WR,,,,,,1,1,0,0,0,0,17,27,27,7,2,0,0,131,,,,,,,
B.Roethlisberger,00-0022924,yes,PIT,QB,1,0,2,0,0,40,29,0,3,0,0,314,,,,,,,,2,2,0,0,0,0,4
M.Glennon,00-0030520,no,TB,QB,,,,,,42,21,1,2,0,0,302,,,,,,,,,,,,,,
B.Rainey,00-0029384,no,TB,RB,,,,,,1,0,0,0,0,0,0,16,0,1,0,0,0,16,4,3,0,0,0,0,2
