name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds
C.Simms,00-0022005,yes,DEN,,1,0,1,0,0,4,2,0,0,0,0,10
K.Orton,00-0023541,yes,DEN,,,,,,,29,15,1,0,0,0,171
P.Rivers,00-0022942,no,SD,QB,,,,,,22,17,0,1,0,0,145
