name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
K.Orton,00-0023541,yes,DAL,,,,,,,,,,,,46,30,2,2,1,0,358,1,8,0,0,0,0,8
N.Foles,00-0029567,no,PHI,QB,1,0,1,0,0,,,,,,26,17,0,2,0,0,263,5,0,0,0,0,0,-5
B.Smith,00-0024318,no,PHI,,,,,,,11,11,0,1,0,1,0,0,0,0,0,0,,,,,,,
