name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
M.Flynn,00-0026349,yes,GB,,1,0,1,0,0,39,21,1,1,0,0,232,,,,,,2,7,0,0,0,0,8
M.McBriar,00-0021488,no,PIT,,,,,,,1,1,0,0,0,0,30,32,3,39,5,178,,,,,,,
B.Roethlisberger,00-0022924,no,PIT,QB,,,,,,28,16,1,2,0,0,167,,,,,,1,13,13,1,0,0,13
