name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
R.Wilson,00-0029263,yes,SEA,QB,0,0,1,0,-1,24,16,0,3,0,0,173,,,,,,,,9,13,0,0,0,0,27
S.Rice,00-0025431,yes,SEA,,,,,,,1,1,0,0,0,0,25,23,11,4,1,0,0,54,,,,,,,
C.Ponder,00-0027950,no,MIN,,,,,,,22,11,1,0,0,0,63,,,,,,,,5,8,0,0,0,0,23
