name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
C.Henne,00-0026197,yes,MIA,QB,44,26,1,2,0,0,363,,,,,,,,1,1,0,0,0,0,1
R.Brown,00-0023437,yes,MIA,,1,0,0,0,0,0,0,5,0,2,0,0,0,-1,11,17,0,0,0,0,54
M.Sanchez,00-0026898,no,NYJ,QB,28,15,0,3,0,0,256,,,,,,,,1,-1,0,0,0,0,-1
