name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
C.Kaepernick,00-0027974,yes,SF,QB,0,1,1,1,-2,29,20,1,1,0,0,256,,,,,,,,9,7,0,0,0,0,14
R.Griffin,00-0029665,no,WAS,QB,1,0,1,0,0,19,11,0,0,0,0,106,,,,,,,,4,8,0,0,0,0,11
P.Garcon,00-0026345,no,WAS,WR,,,,,,1,0,0,0,0,0,0,24,0,3,0,0,0,34,,,,,,,
