name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
A.Dalton,00-0027973,yes,CIN,QB,,,,,,28,14,1,1,0,0,105,,,,,,,,,,,,,,,,,,1,-1,0,0,0,0,-1
A.Brown,00-0027793,no,PIT,WR,,,,,,1,0,0,0,0,0,0,,,,,,3,9,0,3,0,23,0,7,0,0,0,96,2,13,0,0,0,0,13
B.Roethlisberger,00-0022924,no,PIT,QB,1,0,1,0,0,37,27,1,1,1,1,278,26,1,26,1,26,,,,,,,,,,,,,1,-1,0,0,0,0,-1
