name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
J.Locker,00-0027946,yes,TEN,,,,,,,1,0,1,0,-1,9,4,1,0,0,0,24,3,10,0,0,0,0,18
R.Fitzpatrick,00-0023682,yes,TEN,QB,,,,,,1,1,2,1,0,33,22,0,2,0,0,264,3,8,4,1,0,0,13
C.Henne,00-0026197,no,JAC,QB,1,0,0,0,0,,,,,,23,14,2,0,0,0,180,1,-1,0,0,0,0,-1
