name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
M.Vick,00-0020245,yes,PHI,QB,,,,,,38,21,1,0,0,0,213,,,,,,5,11,0,0,0,0,34
C.Henry,00-0028427,yes,PHI,,,,,,,1,0,0,0,0,0,0,26,1,44,2,71,,,,,,,
J.Cutler,00-0024226,no,CHI,QB,0,1,1,1,-7,32,18,0,2,0,0,208,,,,,,1,0,0,0,0,0,0
