name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
E.Manning,00-0022803,yes,NYG,QB,1,0,1,0,0,,,,,,40,23,1,3,0,0,347,,,,,,,,,,,,
A.Rodgers,00-0023459,no,GB,QB,,,,,,,,,,,46,28,1,4,0,0,369,,,,,,4,13,0,0,0,0,32
R.Cobb,00-0028002,no,GB,WR,,,,,,25,36,0,3,0,1,0,0,0,0,0,0,3,5,0,2,0,,,,,,,
