name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
J.Flacco,00-0026158,yes,BAL,QB,1,0,1,0,0,34,16,1,1,0,0,188,,,,,,,,,,,,,1,-1,0,0,0,0,-1
A.Brown,00-0027793,no,PIT,WR,,,,,,1,0,1,0,0,0,0,1,6,0,5,0,34,0,5,0,0,0,58,1,4,0,0,0,0,4
C.Batch,00-0000865,no,PIT,,0,1,1,1,0,36,25,1,1,0,0,276,,,,,,,,,,,,,,,,,,,
