name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
C.Redman,00-0019709,yes,ATL,,,,,,,6,4,0,0,0,0,20,,,,,,,,1,-1,0,0,0,0,-1
M.Ryan,00-0026143,yes,ATL,QB,0,0,1,0,0,32,22,0,2,0,0,236,,,,,,,,2,7,0,0,0,0,7
B.LaFell,00-0027681,no,CAR,WR,0,1,0,1,0,1,0,0,0,0,0,0,28,0,4,0,0,0,63,1,60,0,0,0,0,60
J.Clausen,00-0027659,no,CAR,QB,0,0,1,0,0,33,19,1,1,0,0,182,,,,,,,,,,,,,,
