name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
V.Young,00-0024218,yes,TEN,,1,0,1,0,0,17,13,0,2,0,0,154,,,,,,,,,,,,,7,20,0,0,0,0,30
J.Campbell,00-0023460,no,OAK,,1,1,2,1,0,37,22,1,1,0,0,180,,,,,,1,0,1,0,0,0,1,6,16,0,0,0,0,34
J.Higgins,00-0025486,no,OAK,,,,,,,1,1,0,0,0,0,1,6,9,0,2,0,2,0,1,0,0,0,2,,,,,,,
