name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
J.Flacco,00-0026158,yes,BAL,QB,35,25,0,1,0,0,342,2,3,0,0,0,5
T.Smith,00-0025561,yes,BAL,,2,1,0,0,0,0,4,,,,,,
D.Anderson,00-0023645,no,CLE,QB,19,11,3,0,0,0,92,,,,,,
B.Quinn,00-0025409,no,CLE,,8,6,1,0,0,0,34,2,7,0,0,0,9
