name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
J.Campbell,00-0023460,yes,OAK,,0,1,1,1,-10,33,19,1,1,0,0,229,,,,,,,,2,0,0,0,0,0,0
D.McFadden,00-0026144,yes,OAK,RB,1,0,1,0,0,1,0,0,0,0,0,0,16,0,4,0,0,0,25,17,34,0,0,0,0,89
M.Cassel,00-0023662,no,KC,QB,,,,,,35,20,1,2,0,0,216,,,,,,,,3,9,0,0,0,0,14
