name,id,home,team,pos,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
J.Campbell,00-0023460,yes,CIN,,6,3,0,0,0,0,7,,,,,,,
A.Dalton,00-0027973,yes,CIN,QB,33,10,3,0,0,0,86,3,4,0,0,0,0,8
B.Hoyer,00-0026625,no,CLE,QB,23,15,0,0,0,0,198,4,3,0,0,0,0,1
