name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
B.Roethlisberger,00-0022924,yes,PIT,QB,,,,,,33,24,0,3,0,0,222,,,,,,,,2,3,0,0,0,0,6
R.Griffin,00-0029665,no,WAS,QB,0,1,1,1,-7,34,16,0,1,0,0,177,,,,,,,,6,7,0,0,0,0,8
J.Morgan,00-0026314,no,WAS,,,,,,,1,0,0,0,0,0,0,21,0,5,0,0,0,46,1,9,0,0,0,0,9
