name,id,home,team,pos,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
T.Pike (3rd QB),00-0027801,yes,CAR,,,,,,,12,6,0,0,0,0,47,,,,,,,
M.Moore,00-0025708,yes,CAR,QB,,,,,,6,3,0,0,0,0,13,,,,,,,
J.Clausen,00-0027659,yes,CAR,QB,,,,,,18,8,1,0,0,0,47,1,11,0,0,0,0,11
D.Brees,00-0020531,no,NO,QB,0,1,1,1,0,43,27,1,2,0,0,253,,,,,,,
